commonappid,actnum,hondet,commonactid
15832109,7,"Founder & Organizer, Grace Theater Workshop; Invited to lead an introductory workshop on ""Healthy Eating for Families & Obesity Prevention"" for low-income elementary grade level students"".",158321097
15832321,5,Founder of Dalton Longboard Club; We make skateboards and longboards from scratch and donate them to local organizations.,158323215
15833344,2,"Founder of Startup Club; Provides the knowledge, skill set, and hands-on experience required to transform an innovative idea into a startup venture.",158333442
15833596,4,"Mandarin Club- Co-Founder and Officer; Helped organize meetings, establish original club base, plan cultural events.",158335964
15834520,1,"Founder, Vice President - Input Club; Responsible for creating a survey that analyzes the best courses and teachers at Palo Alto HS so students can make logical choices for registration.",158345201
15834635,5,NHS Member and Sub-Group Leader; Founder of Anti-Ignorance Campaign.,158346355
15834757,9,"Co-founder and lecturer of Co-Tech Club; Co-founded the Co-Tech Club and recruited 23 members; Tutoring members biology, chemistry and Arduino IDE programming weekly.",158347579
15834945,2,"Founder of Rock the Street, Wall Street at MLK; contacted RTSWS exec. director to bring her program to my school, created program schedule, recruited 20 girls, facilitator between MLK program&RTSWS.",158349452
15835224,2,"Co-founder & Head of Finance, WellWear; Seed-stage startup; develop prototype & software that detects seizures & notifies caretakers; work with investors & mentors; MIT Launch Top Company.",158352242
15835269,1,Founder/Captain of SPHS Badminton Team; Held frequent meetings with school administrators to start the team. Around 40 members.  Organized fundraising events for equipment purchase.,158352691
15835271,4,Financial club in after school activities; Co-founder in the club and participant in local business competition.,158352714
15835548,1,"Founder/President, Green Team Environmental Club; Recruited members, initiated membership to Green Schools Alliance, advised faculty with school recycling program, 1st annual film festival 12/2016.",158355481
15835658,1,Humans of the Pale Blue Dot Co-Founder; Manage a Social Media campaign to build awareness and drive action for conservation and sustainability; supported by the Green Schools Alliance.,158356581
15835936,9,"Founder and President- Debate and Philosophy Club; Founded to discuss issues not only in our school community but also around the world, to promote well constructed debate and wider perspectives.",158359369
15836040,2,"Founder/President of ASD History Club; I organized the History Club and its activities such as multiple historical debates, a quiz competition and International History Day.",158360402
15836040,5,"Founder/President of ""Storybook publishing club""""; I published seven children's books with my peers. I sold the books at the school festival. I donated the books and the money to a local orphanage.",158360405
15836198,5,"Math Tutoring Club, President (9-12); Peer tutoring club founder and president (support students with Algebra II, Precalculus, AP Calculus).",158361985
15836283,3,Columbia High School Debate Club; Co-founder & VP; I co-lead weekly discussions and debates regarding current events.,158362833
15836283,6,"Columbia High School Pre-Med Club; Co-founder & VP; I co-organized the club to learn about various medical professions through hands-on activities, guest speakers, and discussions on medical ethics.",158362836
15836368,3,"President of Film Club; Founded club, now 28 members, students actively engage in discussions about relevent social issues displayed in film.",158363683
15836471,5,"Medical Club Co-Founder/President; Co-founded club for students interested in health professions, led weekly activities, arranged guest speakers, and organized community service outings.",158364715
15836737,8,"Founder/co president; This club discusses hip-hop music, creates music, and invites guests involved in the music industry to speak to the club.",158367378
15836812,3,Co-Founder of Political Action Committee; Actively working on charter for club that will allow students to debate current political topics and events.,158368123
15837119,1,Founder and Captain; I started a bowling team for my school and I received the Titan Award (the highest award) for my achievements.,158371191
15837133,5,Environmental Council Co-founder; I help to make the school more sustainable and environmentally conscience by hosting lectures and drafting policy with faculty members.,158371335
15837366,5,"A founder of 5K Trees organization; website setup and management, planting trees in L.A. area with the goal of 5000 trees. Affiliated with M.A. Center and Amma's Billion Tree Project.",158373665
15837494,2,"President and founder of Liberty in North Korea; Since I have started the club, our chapter was able to save one refugee and raise awareness throughout the school.",158374942
15837559,9,Founder of Love Means Something; Started a charitable organization that collected tennis equipment and school supplies for underprivileged kids in Atlanta.,158375599
15837590,1,"Team Captain, Mentor, Team Founder; Team member sophomore and junior year, 2015 State Qualifier, senior year founded new robotics team and taught Intro to Engineering and Coding class.",158375901
15837718,2,"Founder, Leader, and Coach for ""Girls Gone Strong""""; I founded an after-school field hockey program for underprivileged girls with the support of the Hope Leadership Foundation.",158377182
15837718,6,"Junior Statesmen of America, Founder, President; I founded a club and worked with other chapters in other schools to debate about current political issues.",158377186
15837732,5,Mighty Minds; Self-founded Mentoring Program for 4th/5th Grade.,158377325
15837862,4,"Autism Discovery Institute, The Buddy Project; Worked with kids with special needs in the classroom and pool and was a founding member/president of the Buddy Project, where I ran the group.",158378624
15837878,3,"Co-Founder of Latinos Unidos; Affinity group for people who classify as Hispanic or Latino, and serves as a safe haven to communicate racial issues inside and outside of school.",158378783
15837898,8,Founder of Royale Investment Management; Founded and currently managing a startup equity research and investment firm which publishes equity reports and maintains an investment portfolio.,158378988
15837992,3,"Founder/Instructor, ""Know Your Brain"" TAG Seminar""; planned weekly hour-long meetings, designed group activities, presented TedTalk-style about various topics, recruited participants, lead ""brain games"""".",158379923
15838024,8,Chemistry Club. Co-Founder and Co-President.; I'm a founder and leader of my school's Chemistry Club which does science demonstrations and experiments.,158380248
15838032,3,"Founder, Debate Club of Huaiyin High School; I began a debate club with my friend and represented my high school at regional and national competitions.  I would like to pursue this in college.",158380323
15838406,4,"Writing Center Coordinator-Nat Eng Honor Society; Founded & implemented writing center: organize, recruit & train tutors, coordinate tutoring sessions, serve as tutor to review student essays.",158384064
15838435,3,"Help Save the Next Girl, Chapter Founder/President; Recruited advisor/exec officers, initiated 18 charter members, plan/lead bi-weekly meetings, arrange community service, report to Inter-Club Council.",158384353
15838737,7,"""You Mass You Matter"" blog founder & writer""; Funny, inspirational, and eccentric short stories and articles, Liebster Award, Sunshine Blogger Award, 120+ subscribers.",158387377
15839084,7,"Co-founder/President of Academics, MUN; Hosted workshops on political news/analysis for 30 members; organized 1st MUN Conference for Juniors in southern China (10 schools, 73 delegates).",158390847
15840650,4,"Jazz Band, 1st Trombone/Student Leader and Founder; Our jazz combo is a student-run group that meets weekly and plays in school events such as Homecoming. Through jazz, I've learned how to improvise.",158406504
15840730,5,"Fundraising Chair, Circle of Women; As a founding member, I am responsible for planning and executing fundraising events benefitting the non-profit organization Circle of Women.",158407305
15840939,2,"Help Humanity Today Co-founder; Raised more than $7000 for the refugee crisis, Collected over 700 books for UMOM's reading program,Featured non-profit in Ocotillo Living magazine.",158409392
15841579,1,"Rocketry Group Founder; Helping middle school and elementary students build rockets and launch them at a local park, and inspiring a passion to study to universe.",158415791
15841656,3,"Summer Camp Director and Founder of Michael Camp; Created and ran 4-week summer camp for 7-10 yr olds, incl lessons in Spanish, Geogr, Math, Cursive; supervised daily bike rides and outings to park.",158416563
15841899,1,"Founder: Bridge Club @ WBMS/AHS; Regional Master; Played bridge 9+ yrs; 3rd overall in 2014 NABC Open Youth Swiss Teams, $700 Scholarship; 2013 Sportsmanship Award recipient, $1000 scholarship.",158418991
15841945,2,Founder of Education Station Program; It is a program that pairs younger students with high school mentors for tutoring sessions in their academics.,158419452
15842072,3,"Co-Founder and President of the NGO Nurturenature; Initiative to create awareness about issues like environment,education & helping Cancer patients through various initiatives.Handled the NGO finances.",158420723
15842476,3,Founded school Jewish Club; Founded a Jewish Awareness Club. This club helped educate my  peers about Judaism and Israel. I arranged and brought speakers to campus.,158424763
15842484,6,"Red Cross Club, Co-founder, President 10; Annual blood drive benefitting the local hospital, Waffle Wednesdays raising money for local charities, annual coat drive before holidays.",158424846
15843237,1,"Founder and CEO of Deepwater Mill (DWM); In October of 2015, I started a T-shirt company to support flood relief efforts in the southeast. DWM has sold over $14,000 worth of apparel. .",158432371
15843237,2,"Founder and Captain; In January of 2015, I worked with my high school to create a cricket team to help introduce students to this ""new"" sport."".",158432372
15844192,1,"Cofounded Math Clubs in Title 1 Elementary Schools; Organized, developed, and institued a curriculum. Creating a template for expansion in my school district.",158441921
15844313,3,"President and Founder of Help for Humanity Club; Gathered funds to donate to relief efforts around the world, like the Syrian Refugee crisis.",158443133
15844328,4,"The Pink Club for Early Breast Cancer Awareness; Founder&president, 40+ students educated about breast cancer prevention, volunteer at Avon&Komen walks, initiate club partnership w BCM Breast Center.",158443284
15844363,1,"President and Founder of Medical Club; Started the club in school , has more than 100 members, organized shadowing & cadaver labs, invited prominent speakers in the field of medicine.",158443631
15844667,4,"President, Founder of Piano Club; Founded club/organize piano duet/members performing in all school concert/invited to perform in hospital.",158446674
15844823,1,"Founder and Author, The Amateur Economist; Founded 'The Amateur Economist'; wrote articles and papers for it on economic and socioeconomic topics while taking elements from policy & politics.",158448231
15844906,8,"Founder and President, ""Across the Ocean"" Club""; Founded school's first Asian cultural club. Design and execute educational events on Asian culture. Plan and budget Lunar New Year celebration.",158449068
15844953,1,"Founder & President; Speaking Club; Built for mutual study between Chinese students & ex-change students from US; promote our club, recruit members & make policies;organize regular event.",158449531
15845053,1,"VP/Co-founder- Indian Cultural Association club; A school club that spreads awareness of Indian culture through meetings, Indian movie nights, Indian festivals, and raises money for Indian charities.",158450531
15845246,1,"CEO and Founder of Tinyten, LLC; I developed and marketed a new style of Japanese fly rod which is specifically designed for small alpine streams.",158452461
15845275,3,"President/Founder: Science National Honor Society; An educational enrichment society in which I organize service, activities, field trips, & workshops pertaining to many fields of science~280 members.",158452753
15845275,4,President/Founder STEMpowerment; A national non-profit organization that introduces the STEM field to students in elementary/middle school. I founded the first chapter in Florida.,158452754
15845303,1,Feminist Club Cofounder and President; I created Feminist Club (over 130 members) and due to its success I was invited to the United State of Women Summit at the White House.,158453031
15845311,4,President/Co-founder of Happy Village Student Club; Found the club with other students from different high schools. Planned and organized activities such as Annual College Fair and Love Share marathon.,158453114
15845334,3,Child Rights and You: Vice President; Co-founder and manager of the Atlanta Action Center for the NGO that fundraises money to ensure children's rights in India.,158453343
15845525,1,Founder of International Club; I organized presentation where students from different culture share their background. I invited community members to various cultural events.,158455251
15845525,3,Founder at Sunshine in the Bottle; I organized fund raising events and donated funds to South Africa for its sustainable lighting project.,158455253
15845525,9,Founder at Bakery Sale; I organized annual bakery sale for fund raising event among church elders.  The profit from sale was donated to the Korean Cultural Center.,158455259
15845832,4,"President/Founder, DFA's STEM Outreach Program; Founded program with local elementary schools to promote interest in math and sciences; will become annual year-round project for DFA.",158458324
15846057,2,"President, Founder of GIDAS in Aisch & Farmington; Genes in Diseases and Symptoms (GIDAS) teaches high school students computational biology and aid students in publishing their research.",158460572
15846335,1,"School Permaculture Club Founder and President; Aiming to establish and raise awareness about a sustainable life, we started a vegetable garden at school and harvested the produce for the cafeteria.",158463351
15846341,5,"American Red Cross Club, Founder and President; Organizes youth volunteers of the ARC, conducts service projects and fundraisers for the local and international community.",158463415
15846341,7,"TEDxWaltonHigh: Founding Member; Financial coordinator for one of the 1st TEDx events hosted at a high school; helped solicit sponsors, find speakers, and organize event.",158463417
15846359,2,"Co-founder, President, and 1st board of Chess Team; Taught and fostered love for chess in students and prepared them for tournament-style playing. Placed in numerous state and national tournaments.",158463592
15846414,4,"Paratus Club (""prepared""). Founder & President.""; Created & managing club to prepare high school students (36 members) for independent living in college (nutrition, fitness, finance, safety).",158464144
15846449,3,Female Founders: Internship; Solo Task:research female entrepreneurs' depiction in Singapore media.Report published on company website to raise awareness for gender labor equality.,158464493
15846572,4,"Founder & CEO, Power Elite LLC; Established LLC focused on the development of mobile applications and websites for customers. Currently 2 apps, 3 websites, and various works in prog.",158465724
15846572,9,"Founder, Winter Coat Drive for Children; I initiated and implemented this community service project to collect winter coats for children in the Washington D.C. area who visited SOME.",158465729
15846788,1,"Co-President/Founder  of the Art Club; Started a free art summer camp, painted murals and ceiling tiles, designed prom and school dance decorations, and volunteered as an art teacher.",158467881
15846788,5,"Co-President/Founder of It Takes A Village Club; Tutored subjects from math to reading to children of all grades at homeless shelters, and organized club members to create food and activities.",158467885
15846793,4,"International Baccalaureate Support Group- Founder; Recruited peers to found a group that provides emotional and academic support to IB students. In one case, we intervened to prevent a suicide.",158467934
15846793,8,Petsitting Business - Founder; Established and marketed the business. Worked with clients to provide pet care services.,158467938
15846793,9,"Culinary Club - Founder; Formed this group to explore cultures of the world through food. For each gathering, we selected a region, researched, and prepared traditional food.",158467939
15847170,3,"President, founder of Ethics Bowl at OSSM.; Led the inaugural Ethics Bowl members toward 2nd Place at OK Ethics Bowl Competition.",158471703
15847405,1,"Founder: Aer.fund, Item-Based crowdfunding; ""Top 11 Startups in Ethiopia"" by VentureBeat; ""Best Business Model"" at Lean://gap; Partners with Red Cross & MassChallenge Winner Catie's Closets"".",158474051
15847405,9,Founding Member of Frisbee Team; Recruited and ran practices for Gunn Control's team of 24; Ranked 4th in State; 10th in Nation at USA Ultimate Regional Championships (2016).,158474059
15847414,1,"Co-Founder and Leader, Philosophy Club; I lead weekly meetings where we discuss a different philosophical question (proposed and decided by members) in an informal setting.",158474141
15847479,1,"Founder, president:School Voluntary Society; I collaborated with school's administration office and set up this students' club to deal with daily campus problems. Convened 50+ members.",158474791
15847575,5,"Vice President of Medical Sciences Club; Co-founded and helped organize student group, planned visits to university labs and meetings with medical student mentors.",158475755
15848197,3,"Founder and President; I established a winter club, and we competed in the Colgate Games.",158481973
15848197,4,"Book Club, Co-Founder and Co-President; I wanted to read, and discuss in greater detail, literature and genres not taught in school, so I created a club.",158481974
15848214,3,Founder of Girls Who Code-Alpharetta Library; Allow females (6th-12th) grow an interest in coding.,158482143
15848214,5,Founder of Political Awareness Club; Educational club for those who wish to be informed about American politics.,158482145
15848289,3,"Founding Member, Austin Street Shelter Teen Board; Organize events to raise charitable donations for the Austin Street Shelter.",158482893
15848322,2,"Co-Founder & Chief Organizer, Tu Sach Bay; Established and currently run small community libraries at two locations in Quang Ninh (our coal country), Vietnam.",158483222
15848350,2,"Sarah's Book Club for International Teens: Founder; I am the founder of this book club. I lead discussions on books that we read together, and help them with their English conversational skills.",158483502
15848444,1,"Co-founder of ZodiaApparel.com; Co-founded Zodia Apparel, a hand-drawn t-shirt design company that donates profits to the American Cancer Association. We have donated $830 thus far.",158484441
15848975,2,Co-Founder Cate School audition only Dance Company; Soloist. Featured dancer and choreographer of modern dance. Closed the student showcase with my original solo. Chosen for duets.,158489752
15849070,3,Founder of Rubik's Cube Club at my School; I led members of my club in activities ranging from sessions on teaching how to solve a cube to competitions with prizes. My club had 22 members. .,158490703
15849079,2,"Founder of Food For Friendz; Initiated and chaired local charity, supervised fund collections via road shows, food stalls, and food drives.",158490792
15849079,3,Founder of Township Operation Backpack; Instituted and pioneered the annual backpack drive to facilitate school supplies for underprivileged students. Received recognition from Mayor.,158490793
15849117,4,"Photography Club Founder and Leader; provide free event photos (i.e. senior pictures, prom, sports, family photos etc); create artwork and memories to decorate schools, homes, and offices.",158491174
15849117,5,"Model United Nations Founder and President; organizer of Model UN team, events, meetings, and practices.",158491175
15849387,1,"Founder & Chairman of Charity Brighouse; Rec'd Gov. General Caring Canadian Award (national) & Richmond Outstanding Community Award, Organized >30 events supported by >400 distinct volunteers.",158493871
15849387,9,"Competitive chess player; Founded & served as 1st president in library chess club, 1st place @ 2015 Vancouver Regional tournament, 2nd place @ 2015 Richmond Regional tournament.",158493879
15849389,9,"Founder of Torrey Pines Casa de Amistad Club; Organized 15 high school students to mentor and tutor 7th & 8th graders from disadvantaged backgrounds, Tutored 3 seventh grade students.",158493899
15849530,1,"Founder, Tozai Rural Women Empowerment Initiative; Women's empowerment through economic independence, providing employment to more than 100 rural women. Covered in Mahasatta regional newspaper.",158495301
15849530,6,"Founder, school magazine, BISionary; Created team, designed mag, collected, edited and contributed articles. Raised funds thru bake sale + lottery. Also writer for yearbook.",158495306
15849555,1,"Founder of ""A Barrel of Nuts""""; Convinced the e-educational company Viewshare Co.ltd to donate their 10 thousand dollars per school videos to 40 schools In Guangxi,Gansu,etc..",158495551
15849555,2,"Founder of ""A Barrel of Nuts"" Subtitle Group""; Translated some videos from Khan Academy; donated to Remote Area With Community organization and shared them on Weibo, getting thousands Click.",158495552
15849696,1,Founder of Tamarack Camps Teen Council; Started a junior board to include camper input in decisions and policy making.,158496961
15850248,1,"Founder of Music is Instrumental: service org.; Started Honor Band for middle school musicians with conductor, 30 musicians, and 10 high school mentors in spring 2016. 2016-2017 full season underway.",158502481
15850938,5,"Founder & teacher of science initiative; Developed program to enrich science education taught to elementary school students at IICS, prepared experiments, gave short talks.",158509385
15851639,2,Exploring Culture Club founder and head; Gathering students together to present different cultures through story-telling and performances.,158516392
15851639,4,"Founder and leader of Chinese Film Nights; This year, I started a new activity in which Chinese language Students and Chinese boarders watch and discuss award-winning films together.",158516394
15851639,7,Saving Paper project founder and co-head; Remaking wasted paper into notebooks and selling them at school and thus have recycled thousand of pieces of paper.,158516397
15851792,3,"Founder, Photographer, Humans of RCDS; As founder of  ""Humans of RCDS,"" I introduced RCDS students to the community in a different way through photography.  Instagram: @HumansofRCDS"".",158517923
15851804,3,"Vice President - Psychology Honor Society; Co-founder of club, organize meetings, communicate meeting reminders, assist with ideas for club activities.",158518043
15851878,6,"Founder and President of the McCallie Medical Club; For students interested in the field of medicine, and support local charities, learn about special topics in medicine.",158518786
15851901,2,TEDxWaltonHigh Lead Organizer / Founder; Led Organization of first TEDx event at High School; Integrated Student Speaker Competition into Literature curriculum at School; .,158519012
15852384,6,"Co-Founder, soccer club; Habitat for Humanity; Assisted in the formation of the club, played organized games of soccer, instructed beginners soccer techniques; helped build homes for impoverished.",158523846
15852626,2,Butler High School Young Democrats Club; Founder and President. We work closely with local and state politicians to provide a voice for those who go unheard through volunteerism.,158526262
15852746,3,"Student Council City Council Representative; Attend monthly city council meetings, founded Mayor's Youth Council, Badger Girls State Delegate, Good Citizen Award.",158527463
15852746,7,"FACT: Youth-led Tobacco Prevention Movement; Third-year State Board Member; President of Lincoln FACT: Founded club, Selected Youth Panelist at National Summit, spoke with state senators.",158527467
15852903,3,"President and Founder of ""Future Physicians""""; Heads an Upper School club which introduces classmates to a career in medicine. Raised $1,000 for hospitalized veterans.",158529033
15853063,1,Founder of Oberoi Film Festival; I led and organised the Oberoi Film Festival and taught directors how to make films.,158530631
15853112,4,"Founder/President, Debate Club; Founded the club to lead meaningful discussions in medical ethics; attended the 2015 Harvard National Forensics Tournament and 2014 Yale Tournament.",158531124
15853524,6,"Senior Leader, Co-founder of school urban garden; Worked with faculty to design, build, and maintain the school's first urban garden. Half of produce goes to 3 under-privileged schools in Charlotte.",158535246
15853573,5,Co-Founder and Co-President of Environmental Club; Lead our club in environmental education and service projects around my school and community.,158535735
15853617,4,"Co-Founder/President, Red Cross Club; Volunteer at local charity events, fund raise for disaster relief organizations, organize blanket drives for the homeless.",158536174
15853831,1,Founder and President of Entrepreneurship Program; President at Rutgers Prep. & Founder of the program at American Heritage. Winner of the Miami Herald Business Plan Challenge through my program.,158538311
15853831,2,President/Founder; I founded the MIT Launch Club this year.,158538312
15853831,4,President of Stock/Finance Club; President/Founder of Stock Club at Rutgers Preparatory School and President of Stock Club at American Heritage.,158538314
15853831,5,CEO/Founder of Hercules Protein Gum; I am the CEO and founder of Hercules Protein Gum. We currently in process of obtaining patent and a licensing agreement with large gum companies.,158538315
15853831,6,Co-Founder of RentAll; I am a co-founder of RentAll. We are winners of the Miami Herald Business Plan Challenge. www.rentall.rent (View add'l info in common app).,158538316
15853930,7,"Founder/President of the ""Book Inkler's Workshop""""; Taught students to write fiction and non-fiction books of several genres. Had them enter writing competitions. Had poem published in ""Teen Ink"" mag."".",158539307
15854259,9,"Philosophy club at school; We discuss questions about the fundamental nature of knowledge, reality, and existence. My brother created the club and I was a founding member.",158542599
15854359,5,Austin Street Center Teen Board; Founder and president of teen board assisting and working with the homeless at the Austin Street Center; served lunch to residents monthly.,158543595
15854391,6,"Muslim Students Association; VP (10), Member (9,11,12). Co-founded MSA and facilitated constructive discussions on religious identity and awareness.",158543916
15854400,3,Filmmaking and Film Club Founder and Co-President; I am a part of the filmmaking program at my school and acted as the Co-President and Founder of the school Film Club during my junior year.,158544003
15854420,4,Founder of Art Program; I work with children at the Down's Syndrome Guild of Dallas to create sensory-based art with children.,158544204
15854579,3,Founder/Vice President of Eastainability Club; I founded this club with the goal of increased campus sustainability. I coordinated the funding and creation of an on-campus Native Plant Garden.,158545793
15854887,2,"Founder and President, Wakeland HS Chess Club; I organized club meetings every other week and organized the first district wide chess tournament.",158548872
15855083,1,"Founder and manager of two Instagram accounts.; Operating and facilitating paid promotions on Instagram accounts @hpfashion934 and @butterbeermug, which have a collective 300,000 followers.",158550831
15855161,4,Co-President/Founder of Medical Science Club; Aims to expand aspiring student physicians' knowledge of the medical field through presentations by medical professionals and interactive activities.,158551614
15855242,1,Founder and Owner of Private Bay Tampa LLC; Created streetwear fashion brand. Managed social media and supply chain. Created online store website.,158552421
15855242,9,Organized Guest Speaker for Berkeley Academy; Facilitated presentation of founder of Burger Monger to underprivileged youth in summer program. Established relationship with company and program.,158552429
15855277,3,"Co-founder of Create Your Canvas Service Project; Berkeley Service Scholar Award (monetary grant), plan art projects for kids, interact and teach technique, share my passion for art with youth.",158552773
15855457,8,"Founder, President; Student 2 Student, Peer Guidance to New Students.",158554578
15855511,8,Club Member; I co-founded Sketch Comedy in 9th grade. I have been in SCOPE charity club for 11th and 12th grades. I am currently in science olympiad and math club.,158555118
15855656,3,"Performance Club Founder and President; Organized student musicians. Arranged performances at assisted living, charity and community events. Raised funds to buy instr. for needy students.",158556563
15855724,3,"Founder of Kids2Kids Books; Coordinate book drives to bring underprivileged children books of their own-to date, over 5,000 books donated to the local Dept. of social services.",158557243
15855793,2,"president and co-founder of fashion club; We initiate to produce one magazine each school year, including photograph, newspaper article writing and magazine layout design.",158557932
15855896,9,"Politics Club, Co-Founder and President; A club devoted to discussing and debating the current political events in the United States.",158558969
15856234,5,Co-Head and Founder of Future Me Club; Volunteers travel to shelters and read to children to help provide comfort and academic stimulation.  Selected by school as most likely to succeed.,158562345
15856812,1,Co-Founder and Vice President of Chess Club; Organize and lead weekly meetings/tournaments for 40+ students.  Teach elementary school students chess skills/strategies in after-school program.,158568121
15856831,3,Young Independents; President and Founder; Lead weekly non-biased conversations about current events.,158568313
15856831,4,"Medical Science Club; President and Co-founder; Participated in labs and research, shadowed medical researchers at UVA,  coordinated speakers and mentoring partnerships.",158568314
15856899,4,"Secretary of HOSA Club-Future Health Professionals; was one of the founding members and officers in establishing a club to learn, serve, and compete as future healthcare professionals.",158568994
15856931,5,Founder/Dreamers; Club founded to provide student valuable information regarding college processes.,158569315
15857167,4,Co-Founder and Co-President: Science Olympiad; Oversee 4 science competitions: meet weekly to prepare for competitions; organize meetings; select team members; develop study schedules.,158571674
15857751,1,"Founder, Tech Grandson For Hire; Founded a technology assistance business geared toward seniors and small businesses;  solve problems for both PC and Mac devices through home visits.",158577511
15857777,1,"Founder and President of Creative Kids Care, Inc.; At 9, I founded this 501(c)(3) national NPO. I have built 10 chapters, run over 25 events and raised over $100,000 to donate to children's charities.",158577771
15857777,6,Music Club at Pine Crest School; I co-founded this club and served as treasurer in 11th grade. I am currently vice president and organize club events and guest speakers.,158577776
15857987,6,"Founder and Co-President of ""Sportography"" Club""; Student club that takes pictures of athletes at varsity and JV games and posts these pictures on a website and Instagram page for students to download.",158579876
15858153,2,"Founder & President of Natl. English Honor Society; inaugurated school wide English tutoring program, organized largest school book drive, created & judged local elem. school writing competition.",158581532
15858212,5,"Philosophy Club: Co-Founder and Co-President; Discuss/ debate topics such as perception of color, categorization of objects, implications of self-created societal traps, etc.",158582125
15858212,7,"Literary Magazine: Co-founder, Co-president; As the head editor, I put together a school magazine of student art and writing from all grades.",158582127
15859078,2,Founder and President; Founded to help high school students have a more active role in helping the underprivileged in our local community through working with non-profits.,158590782
15859106,2,"President of Helping Houston's Homeless Project; Founder, started a project with two other friends where we fundraise money to make care packages with basic necessities for the homeless.",158591062
15859863,8,"President and Co-Founder of the Brain Trust Club; raised money and awareness for neurological diseases by having guest speakers come talk, having fundraisers, and holding events to raise awareness.",158598638
15860050,1,"Owner, Zac's Sweet Shop; Founded a custom candy business including the conceptual brand and recipes, that caters events; twice a finalist for an appearance on Shark Tank.",158600501
15860218,8,Founder of Program; 800;1600;3200; 3x District Qualifier.,158602188
15860286,3,"YMCA Youth & Government, Competitor and Founder; Competed in region and state levels, debated in Legislative competition, authored Bills for debate at the Texas Legislature.",158602863
15860286,6,"Model United Nations, Competitor, Founding Member; Competed in Model UN competitions, wrote position papers, debated on international issues within committees.",158602866
15860446,4,"Politics Club; I am co-founder of the Politics Club, which serves as a forum for students to voice and discuss political opinions.",158604464
15860594,9,Superhero Club- Cofounder/Vice president; Discussion/Debate about superheroes as well as watching movies.,158605949
15860660,6,"Co-President/ Photography Club; Co-founder of club, oversees meetings, activities, community services, conducts officer and club meetings, supervises functioning of club.",158606606
15861101,3,Founder/Choreographer; I teach the young girls at my church how to praise dance; We perform at our own church and occasionally at other churches.,158611013
15861260,1,"CO-Founder, Logan and Sam's Workshop llc.; Nonprofit based around building wooden toys for homeless children and raising money. Huge support received. Featured in numerous media articles.",158612601
15861292,1,"Finance & Logistics Intern: Tropic Ocean Airways; Founded Cargo Division, now grossing over $200,000 in revenue annually; developed executive decks and route strategy plans for emerging markets.",158612921
15861292,6,"President & Co-Founder: Libertarian Club; Co-founded political forum for political dialogue, created constitution and by-laws, led first school-wide political debate with Libertarian Party.",158612926
15861292,7,"Exec. Producer & Founder: PC Market View Update; School's monthly finance and stock report; responsible for production team; silver medalist, STN Craft Achievement Award.",158612927
15861334,2,Founder - Speech and Debate Club; Passion for Speech & Debate lead me to initiate the club; am in contact with president of Massachusetts League; preparing club members for competition.,158613342
15861795,5,Founder and Co President; Founder and Co President of Generation United Nations.,158617955
15861795,6,Founder and President; Founder and President of Muslim Students Association.,158617956
15861958,2,Founder of Nor Cal Society of Toxicology- HS; I started the first high school chapter in Northern California to create interest and awareness of toxicological career paths.,158619582
15862318,1,"Co-Founder and President of Problem Solvers; As president, I have played a role in helping our club receive a $700 grant to help with food deserts and hosts volunteer events.",158623181
15862366,1,"Co-Founder/CEO of Preloved; Nonprofit that promotes a love for learning by donating backpacks, school clothing and supplies to underserved children.",158623661
15862366,5,Founder/President of Teens Take Action; Club encourages students to take action in issues such as the presidential election and migrant crisis. Conduct fundraisers and service projects.,158623665
15862848,7,"Leader, Violinist of Moonlight String Quartet; I am the leader and one of the co-founders. I'm in charge of the logistics--contacting clients and negotiating. We play at public and private events.",158628487
15862936,6,"Founded and Led Week-long Intensive Course; I planned an intersession on vocal music for 13 students combining a lecture series with hands-on learning, field trips, and a performance.",158629366
15863146,2,Co-Founder/VP - Active Minds; raised awareness around mental health and reduced stigma on campus. Responsible for organizing activities - group discussions and projects.,158631462
15863206,6,Co-Founder of Environmental Protection League; Environmental Protection League of High Schools focuses on and deals with environmental issues on campuses and all around the city of Guangzhou.,158632066
15863206,8,"Co-Founder & Co-President of PAMA; Performing Arts and Music Association promotes the accessibility of performing arts to more students, holding dance showcases and grassland concert. .",158632068
15863496,4,"Co-founder of Math Advancement Center; Organization at local library. Teach middle school students competition math. Make and print out lesson plans, give lectures.",158634964
15863572,7,"Saint Andrew's School Law Club; Founder and President, Discuss legal current events in the U.S. and abroad.",158635727
15863572,8,"Operation Necessity: Founder, Non-Profit Charity; Volunteered and Mentored Children in Organisation Des Petits Anges De Miheber and Foyer Des Petits Anges De Miheber in Haiti.",158635728
15863687,1,"Pianist, Composer; Lead pianist and co-founder of professional jazz trio. Co-creator of trio's 2016 debut independent album ""Overdue"". Professional pianist for 6 years."".",158636871
15863865,4,Co-Founder of Amador Valley Team for TARC; Participated in the National Competition (Team America Rocketry Challenge) & competed with contestants from around the country; won honors & awards.,158638654
15863865,7,"Co-Founder of Aviation Club, Amador Valley High S; Recruited members, taught knowledge on aviation, promoted participations in drone competitions, and encouraged interests in aerospace engineering.",158638657
15863885,1,Founder of Savannah Kids Code; A community oriented nonprofit program that focuses on teaching kids basic computer programming skills.,158638851
15863885,8,"Red Cross Club, Founder and Co-chair; As a co-chair of the Savannah Country Red Cross Club, I help organize fundraisers and lead student meetings for the club.",158638858
