hondet,commonactid
"Entrepreneurship Club, Founder/President/Treasurer; Raised over $1000 that we donated to Relay For Life, had both individual and a group project devoted to business ideas.",157377545
"Founder, author, Newsmakers, series on politics; Aims to spark debate about political issues. Interviewees include: AG Maura Healy, Rep. Joe Kennedy, Pres. G.H.W. Bush Political Director David Carney.",157381394
Softball team founding member and outfielder; Through softball I strengthened my communication and collaboration skills by leading on a daily basis as middle outfielder.,157392255
"Model UN President & Founder, Treasurer of SLAMUN; Founded MUN as a sophomore, grew org to over 20 students within a year. St. Louis Area MUN: run fundraisers, manage money for citywide conferences.",157397054
TejHospitality (Nonprofit Organization); Founded nonprofit with the goal of providing arts and crafts supplies to terminally ill & disabled children at various St. Louis hospitals.,157397052
TongTang Co-Founder; Organized interactive activities for senior citizens and children in nursing home.,157406395
Founder of Channel Abroad; A multi-school organization focused on providing first-hand information of American boarding school community for Chinese students and parents.,157406391
"Chinese Culture Club Secretary; Founded Culver's Subscription Account, organized numerous events and negotiated benefits for Chinese community in general.",157406394
"Founder & Head Coach, Guardian Basketball League; Established basketball league to coach special needs kids. Had sessions county wide at organizations such as Jeena and FCSN.",157409373
"Founder and president of the SFHS Glee Club.; I founded this club as a high school junior. A 20-person club that performs at elderly communities, school events, and scheduled choral performances.",157410152
"President/Founder of Soles for Souls Club; Over 704 pairs of shoes collected/donated to Soles4Souls, a nonprofit committed to fighting poverty through the collection/distribution of shoes.",157411141
Catapult Incubator Competitor; Business Founder; Created business plan; marketed concept to startup entrepreneurs & industry leaders; recognized with Best Pitch award; beta iOS app approved by Apple.,157414385
Syosset Kronum Group: Founder/Player; Organized 1st local Kronum club (handball/basketball/soccer combo); raised funds to cover startup costs; recruited players; competed in tournaments.,157414386
Donna-Girl Social Enterprise: Founder/Leader; Raised 500USD every semester by selling reforming clothes in charity bazaars; Business license issued by the government as a social enterprise.,157416712
Founder of my website that I created and designed; www.nipunwadhwa.com.,157419102
"Co-Founder of J & N Albany Community Park; Established a recreational park in a town with a population under 1,100. Now families won't have to drive over 20 miles to get to the nearest park.",157419101
"Upper School Chorus/A Cappella; Soloist/Co-Founder of school a cappella group, ""Acapanthers"""".",157422791
"Founder and President of Glee club, Saint Francis; Lead a team to create song mashups. Organize performances at school, senior homes, hospitals. Manage communications. Won Outstanding Chorister Award.",157422964
"Volntr,Kaiser Hospital;Founder-VP,Med Student Asso; Patient Svcs: delivering lab specimens, patient discharge, interaction w nurses. MSA:Spread Medical awareness through fairs, professional seminars.",157422969
"Junior Mock Trial - Founder; I developed a Mock Trial program for a local elementary/middle school. Created a curriculum and worked with students, teaching them Mock Trial basics.",157425352
Founder of Summer Hoops; Summer Hoops is a basketball camp that I host every summer. It is intended for children who want to play basketball on a non-competitive level.,157425356
Book Blasters Co-Founder; We collect and distribute books to kids in low-income families to make education more accessible. Working with non-profits. Developed a website.,157425357
"Editor in Chief, Founder of Phoenix; I revived the literary arts magazine after 7 years of no production.",157427354
"Founder of ""Valentine's for Veterans"" initiative""; Founder and leader of ""Valentine's for Veterans""; students donate baked goods and Valentine's Day cards to veterans in the VA nursing home"".",1574314910
Founder;Community Public Speaking Training Program; Organized voluntary trainings for teenagers during summer;given mock speech and shared public speaking skills.,157433584
Founder and President ;MCQ Debating Club; Led tournaments as academic mentor; participated in National High School Debate League of China as QD representative;won the SHD regional top speaker.,157433582
"Founder, Operator;MCQ Movie Dubbing Contest; Initiated and organized the Malvern College Qingdao Movie Dubbing Contest in 2015 and 2016.",1574335810
"Guitarist, Co-founder; 5-person School Rock Band; Played 1st acoustic and electric parts; performed 2x annually at school events; selected & transposed scores; individually studied classical guitar.",157435075
"Founder, Manager; Huafu Soccer WeChat Account; Publicized school & community soccer events via social media; wrote and published 86 articles with pictures & video; received more than 45,000 views.",157435077
"Communications Internship at The Midwife Is In; Managed social media accounts for Certified Nurse Midwife ChloÃÂ¢ÃÂÃÂÃÂÃÂ½ Lubell, founder of The Midwife Is In.",157436881
"Founder/Head of Science Olympiad Team; In first year, grew team to 17 members, and individually placed 1st in ""Bridge Building"" and 2nd in ""Wright Stuff"" at MA State Science Olympiad"".",157441186
co-Founder Bollywood Dance Team. AUM DanceCreation; I have created a huge cultural event at the end of the school year for members to perform dances I choreographed.,1574466510
Founder/President; Nuru International Club; I created the Nuru Club in order to raise funds for Nuru International (a nonprofit I am familiar with) and to raise awareness for extreme poverty.,157448372
"Connect Debate, Co-Founder; We provide free mentoring and coaching to underclassmen debaters around the country, including weekly Skype sessions, where we drill and work on cases.",157450043
"Outreach Movement NJ, Co-founder, Co-President; I lead 9 other students to provide mentoring and GED tutoring to a local homeless shelter (Covenant House) youth via video conferencing software.",157450042
"President and Founding Partner, Lincoln Interact; Interact is part of Rotary International. Lead group of 53 students; founded 5 local/international projects; raised over $3000.",157451944
"President and Founder, SoÃÂ¢ÃÂÃÂÃÂ¢ÃÂÃÂamos Juntos; International Children's Peace Prize Nominee. Raised $20,000+. Project serves 40+ children. Created 3 alliances. Interviewed by Amcham & Repretel.",157451943
"President of ""International Discussions""""; I founded this club with friends to meet and discuss news and current events, and I was voted president.",157452203
"Health Awareness Project, Founder and President; Initiated annual health fair with 400+ attendees; organized 10 lectures (20+ people) in China, UK, and US; connected local patients with US doctors.",157457891
"Student News Organization, Founder & Chief Editor; Provided weekly news report and interview for WeChat platform (700+ followers) and school website; published bi-annual magazine (1000+ hardcopies).",157457893
Founder; Founded a tutoring group to help underprivileged children with English and Math in a school located 60 km away.  Dedicated more than 200 hrs.,157458141
"Founder & Co-Leader, Packer Science Forum Club; Plan weekly discussion encompassing all areas of science. Choose and research weekly topics, based on current research/discovery/innovation.",157459614
Founder/Loving What Is; LWI is a body positivity club inviting anyone to participate in teachings of self-acceptance. I hope it is a permanent installation at Interlochen.,157461983
"Co-Founder, The Hotchkiss Review (Op-Ed); Established publication to showcase wide range of peer voices and perspectives on current events, drawing over 40 submissions for first issue.",157465506
"Founder, Stress Relief Club; Facilitate weekly school-wide sessions to relieve stress through yoga, coloring books, faculty's companion animals, massages, and tea.",157465507
"Founder and President, The Girls Home; Founded a club of 35 members to help a group of abused girls sheltered by nuns; organized parties and activities for the 30 girls.",157472488
"Columnist, The Hawk's Eye (School Paper); I am a founding Member of the School's first student-ran newspaper. It is my job to write monthly pieces. I have published four pieces.",157472489
JV Captain; Founder of the JV program.,157481306
Garden Club; A couple of my friends and I founded the gardening club at Woodward Academy. We grown produce on and off campus for the Atlanta Community Food Bank. .,157483298
"Founder, DIY Club; Purchase materials, instruct members to make various handcrafts; Schedule all activities; Sell products and donate earnings to other club's activities.",157486751
"Chess Club, Co-Founder; I love chess, so I co-founded the club in order to provide opportunities for other students to learn and play chess.",157488548
"Co-Founder and Co-President, Ted Talks Club; Drafted proposal to create new club to view and discuss Ted Talks videos; recruited club members; plan weekly agenda; conduct discussions and debates.",157488684
"Gender Equality Club; Founder, President; Planned and governed meetings; presented to freshman health classes.",157488867
"Nirvana Club; co-founder, Secretary, Treasurer; Planned stress reduction activities; governed meetings.",157488868
"Teacher at North Penn Valley Boys & Girls Club; Founded chess program, mentored chess and homework, directed and taught a week-long full-day charity chess camp to raise $750.",157491406
"Chess Club President and Mathletics Club President; Led chess team to 10-0 record, 3rd place in league, and 5th place in state. Founded Mathletics Club and led team to 4th place at Lehigh Contest.",157491409
"Founder of Chess Wizard Academy (ChessWizard.net); Provided private and group lessons, coached 2-time PA top K-3 team, directed USCF rated tournaments, donated $710 to Dan Heisman Chess Support Fund.",157491405
"Pencils of Promise,Development Intern/Club Founder; Conducted a comparative study of non-profit social media campaigns; founded club at Hotchkiss to fundraise for educational initiative.",157492351
"Founder/Head, Hotchkiss Medical Society; Founded the club, includes 100+ members, runs EMR certification program, organizes discussions/professional lectures, fundraised over $1400.",157498042
"Inkpot, Founder and Head Editor; I founded a website wherein students and school faculty can submit any creative work, which we display at oisinkpot.wordpress.com.",157503151
"founder and organiser; I am responsible for designing the activities. We hold baking activities,sell homemade desserts,and hold dinner parties for school events.",157506371
Founder of Poetry Blog; Created a blog in which each poem accompanies a photograph; analyze and accept external submissions. (http://photoxpoet.wordpress.com).,157516828
"CPR Mission Founder and Instructor; Created an initiative to teach CPR in Ethiopia. As the sole trainer, I taught tour guides and the Ethiopian Red Cross (https://theerdatamission.com).",157516821
"Gay-Straight Alliance: Founding Member; weekly meetings to discuss the state of the LGBTQ+ community in our school, meetings with administration to discuss changes to discrimination policy.",1575170010
"President/Founder of Fulton Leadership Academy SGA; Founder of Student Government Association; Author of SGA Bylaws; SGA Meeting Facilitator; Student Fund Raiser Coordinator, SGA President, SGA V. Pres.",157518753
"Founder of Startup Company English Booster (EB); Helped 60+ Chinese students break English language and cultural barrier; partnered with 4 schools, 1 company; featured in Richmond Global Issues Forum.",157530831
Co-Founder of Cultural Unity Club; Started first club in VES to raise awareness of LGBT community; recruited over 30 members; regulated budget; invited speaker for LGBT history month.,157530836
"Founder, Puppy Pals; Provides stuffed animals to children in hospital. Created vision, registered with IRS, met with hospital, held fundraisers, bought stuffed animals.",157530871
"Founder, CSAS Math Club; Encouraged math appreciation and organized events celebrating important days, such as Pi Day, for the entire student body.",157535645
"Founder / President, Student Allies for Equality; Organized events to celebrate diversity, encouraged activism in the student body, and fostered an environment of acceptance on campus.",157535644
"Co-Founder (2015-16), Co-President (2016-17), DECA; Co-founded Choate chapter of DECA, international business club. Prepared students for interscholastic competitions.",157536205
"Founder & President of Engineering Club; Worked with engineering teacher to promote engineering by planning actives for meetings, scheduling speakers, and founding club.",157543872
"World Politics Club, CoFounder and Senior Rep.; The club contains a diverse group of students who stay informed about word politics and wish to debate prominent political issues.",157549583
President; Founded Pencils of Promise club dedicated to raising awareness and building schools in the third world.,157549692
Co-Founder and Co-President of the Red Cross Club; The Red Cross Club works alongside our local red cross chapter to provide community service and promote safety measures.,157552352
"Adulting 101, president and founder; Adulting 101 works to teach teenagers skills they will need as an adult.",157552765
"Founder, Northern Valley Middle School Tennis; Founded middle school tennis league that encompassed 50+ students. Led steering committee of 10 peers to organize and manage league.",157553001
Founder/Elected Treasurer of Pizza and Policy; Pizza and Policy.,157553993
"Science Interactive STEM Camp Volunteering; As a founder and president of two divisions of the Science Interactive program, I organized and managed 2 science camps for less fortunate children.",157554333
President/Founder of Leader in Me; I organized a three day camp that helps students from elementary to high school learn the characteristics of being a leader.,157554362
Head Organizer/ Cole's Warriors 5K; Organized first 5K run for Cole's Warriors. Communicated with president and founder. Earned multiple sponsors totaling thousands of dollars.,157555188
"Cofounder/ President, Culver Vegan and Vegetarian; Key leader of club; received sponsorship, sought approval, organized club meetings.",157555186
"Founder & Chief Executive Officer/ Varsity Supps; Founded Varsity Supps, a supplement distribution company servicing high school and college students on multiple campuses.",157555181
"Founder&CEO-Rebecca's Enterprise; Selling handmade jewelry boxes, teddy bears, socks and earrings, milk tea, authentic homemade Chinese foods and senior pictures at school.",157556722
"President/Founder of LesMedia; I started my own business selling used books and records online. I've made over $10,000 in revenue.",157559231
"Founder/Editor-in-Chief, ""Kommunity"" Magazine""; Capstone Honors Independent Study, local youth lifestyle magazine, initiate creative concepts, write articles, review submissions, organize funding.",157559725
President and Founder- Political Education and Dis; I engaged in organized discussion of politics and current issues.,157560682
"President and Founder, TechTeachers; Started and ran a small business. Proposed business plan to my school and won the Grimaldi Family Award for Leadership and Entrepreneurship, $2,500.",157562852
Founder and Team Captain; An intermural for amateur archers in search for an athletic credit and expanded the expertise of this club sport to become a competitive sport.,157563103
"Co-founder - Cranbrook Stories; Show prospective students, student body, faculty, parents, alumni the diversity and uniqueness of student body and show the area the story behind us.",157563105
"Founder, Vice President, President - UNICEF Club; Aimed to educate students and advocate for children's rights, water sanitation, and HIV and organized monthly activities concerning UNICEF topics.",157563109
"Founder/Executive Director of MedLove, Inc.; Non-profit Organization for Sex Trafficking: Provide medical assistance/Coordinated with Maiti Nepal (NGO for trafficked victims in Kathmandu, Nepal).",157564749
Founder/President of The Medical Pioneers; The first club of Herndon High School to provide opportunities in the field of Medicine.,157564745
Lacuna (Special Olympics): President/Co-Founder; Work with Seodaemun Welfare Center to support disabled children in Seoul; Monthly charity events to raise awareness of athletes with disabilities.,157571265
"Founder and President of ""Videoactive"" Music Club""; I help more Chinese people appreciate western music by publishing articles, making videos and cover versions of songs; I have hundreds of followers.",157573975
"Founder and Leader of the Literary Magazine; I created the organization in 10th grade, leading others to produce a collection of our school's writing and artwork. We produced an 80-page book.",157578033
Founding member of the choir club; I asked the choir teacher if she would coach a group of students not taking her regular classes and we became so good she invited us to perform.,1575783710
"Green Club Vice President; Managed environmental projects: Competed in National Recycling Competition, Founded lunch composting system, Directed Electronic Waste Drives.",157578475
Founder of Humans of DAIS; Established a spin off of Humans of NY for my school to showcase stories of individuals. www.facebook.com/humansofdais/.,157581215
"Founder:New Hearing Community of India; Created an FB support page for CI recipients, parents and audiologists in India to share concerns, express views and post queries.",157581373
"Musical Theatre Club, Co-Founder; Weekly recreational meetings. Casting and directing end-of-year show.",157584736
"Founder, Bicy-Green; I have co-founded this social project 4 years ago; I fundraise to purchase bikes for the use of underprivileged kids in a school in Bogota.",157585071
"Founder and Tutor, WeCareWeShare (iseeicare.net); Recruit & train tutors; prepare texts for students to read; teach English & science with 200 other tutors to disadvantaged students in Shanghai.",157585291
"Vice President; American Red Cross Club; Founded Octoberfest & ""Measles Vaccines for Africa"" projects; projects; keep paperwork/communications organized; inform members of ongoing crises"".",157587924
Delegate or Director of Model United Nations conf.; Attended 17 MUN conferences (5 as a Director including HMUN India); Founded MUN Club to mentor Juniors and Sophomores for leadership roles in MUN.,157594168
"Founder and President; Cricket club was an activity in which we watched the sport, taught others how to play, and played the sport together.",157598033
Founder of B.C.B.C.; Books of Color Book Club exposes students to books with underrepresented characters or written by underrepresented authors.,157603846
Founder of Student Unions; I Co-Founded my school's premiere Student Union Program to nurture a diverse and inclusive environment by providing a space for safe discussion.,157603847
Co-Founder of Voluntime; Collaborated with a Shanghai NGO to raise money for low-income children living with Cerebral Palsy in Shanghai; managed WeChat platform for Voluntime.,157605225
School Business Club Founder and President; Club that works with investing in stocks; discussing economic trends.,157610506
"Co-Founder, International Student Peer Mentor Club; Organize events with international and globally-aware students to foster cultural exchange and help international students adjust to American life.",157611596
"Founder of Mock Trial Club; Taught my peers the basics of Mock Trial in preparation for a competition, which we will participate if we are ready.",157617693
"Summer Experience Club; Founded the summer experience club and helped students, especially international students, organize the application process.",157624663
One of the founders of 1+3 School Union Foundation; We organized benefit performance and charity sales to help children sick with Mediterranean Anemia.,157638138
"Founder & Captain-Lacrosse; 10-2 record (11); as founder, surveyed student body re: interest; organized practice space, helped generate ideas for funding & coaches.",157648232
Co-founder/ Co-president of Make Your Mark; Founded this club to raise awareness of needs in my community by organizing community service at shelters and to teach urban youth to use computers.,157649152
Founder and President/ Shriners Club; An eye opening Chiapas Immersion experience inspired me to start a club to help children at Shriners Children's Hospital. Fundraised for money/books.,157652877
Co-Founder and CEO of The Bombay Barbell; Starting my own company; Making workout & meal plans for 100 customers; Digital marketing; Website development; Legal registration; Mng Bank Account.,157655641
"President, Drama Troupe; Founded the first Drama Troupe at Harrow Beijing; put on Chinese plays such as ""Leiyu"" and ""Weicheng"" in English with our own band and choreography"".",157672172
PCDS Kiwanis Key Club President; Founded Key Club at PCDS; created meeting agendas; ran monthly meetings; scheduled & attended weekly service events (ie: working at local food banks).,157677053
"School fencing team Co-Founder and Assistant Coach; Co-started the intramural fencing team at school with another teacher, and coached the students interested in saber fencing during my free time.",157683394
"RK Stringing, Founder; RK stringing is a small company that I started that strings and dyes lacrosse heads. All profits go to charity.",157684427
"Founder of Nigerian LGBTQ+ Awareness Committee; The organization's goal is to spread awareness and give exposure to Nigeria's LGBTQ community, and to eventually abolish Nigeria's anti-gay law.",157684516
"President and founder, Africlub; Lead and organize meetings, liaison between club and student activities center. Promote understanding of African cultures and issues.",157685164
Co-Founder of Color Me Beautiful; A Facebook page dedicated to highlighting the experiences of women of color who have allowed me to photograph and ask them questions.,157685165
"President/Founder, Choate Philosophy Club; Started club designed to facilitate in-depth discussion of complicated philosophical and ethical issues.",157685172
"Producer of Bygone Pictures Film Group; My friend and I founded an independent film group of high school students. I recruited, coordinated, and trained people to act in our film.",157685255
Founding Member of the Science Olympiad Team; I was one of the founders of our first-year Science Olympiad Team. I placed in all of my events (third in anatomy and fourth in invasive species).,157685256
"President, French Model UN Club; Founded club, participated in Model UN conferences as a delegate & staff member, Head Delegate (FRMUN), Honorable Mention (YMUN).",157686193
"Blogger and Co-Founder, Bitchin Brunettes; Designed current trends fashion blog that also showcases music, travel, and food blogs. Hand designed current logo. In charge of layout and posting.",157686582
"Founder of Achromatic and Good Boy Daisy; I formed two bands outside of school, Good Boy Daisy and Achromatic, as lead guitarist. I wrote a couple songs with GBD.",157688593
"Cofounder, co-president, treasurer of LIMBS club; Fundraising in coordination with LIMBS international.  Have donated 10 limbs in 8 months.",157689737
"Co-founder & President, Chinese Opera Club; Taught club members the skills and history of Chinese Opera; held regular meetings and performances; took part in China Thinks Big.",157695143
"Co-founder & President, ACE Business Club; Organized events e.g. Sinbowl, business contests, the study of public speaking, stock analysis, market research via social media and meetings.",157695147
"The Scribe Writing Club, Founder & President; Created a platform for peers to share their writing work and experience; collected 700+ old books to build a community library in Jixi village.",157695592
"Jax Math Circle: Founder/President (10-12); Created to connect Jax math community; organize monthly meetings at local college, contact guest professors, write competition sets, built website.",157696153
"Miami Five Jazz Combo, Founder&Leader-12th/11th; Formed a South Florida jazz circle for high school jazz enthusiasts; produced album ""Five!"", featuring original compositions"".",157696367
"Founding Member, Diversity Council; Participates in weekly panel discussions on social/race/gender/orientation topics affecting youth.",157697081
Team Founder; Most Improved JV Lacrosse Player 2014; District Champions 2015 and 2016.,157697151
"Founder of We Are Haiti (non-profit organization); I founded this organization in order to fund service projects in relation to Haiti. The first project is building a house, scheduled for early 2017.",157697243
"Cofounder and Vice President, Chinese Culture Club; Organize members to play traditional Chinese instruments and give musical performance, organize the Chinese culture and customs concert.",157697703
"Founder & President, Debate Club; Developed it into 38 members, organize annual Interschool Debate Competition, over 7 schools, 200 debaters attended the competition.",157697702
Co-Founder; The Brainpower Project; Non-profit organization that meets with and tutors children whose parents are incarcerated.,157698226
Founding member of the Peer Mentoring Program; Provided weekly tutors in Math and English.,157698775
"Co-founder, English/Litrature club; Attend weekly meetings to discuss Novels, Poems and other works of literature, presents critics and debates on books based on the writing and the plot.",157698774
"Hebron Psychology Club Founder (Member in China); Founded club to promote study of psychology. In China: interacted with individuals with autism; discussed depression, pressure's impact on our lives.",157700352
"Founder of the Classic Literature Club; exchange views on literature and the derivative movies and write reflections, plan to compile the reflections and publish collection at school.",157702481
"Co-founder and President of the Environmental Club; Organize, implement all-school activities for pre, lower, middle and high school levels, raising awareness for environmental and conservation issues.",157704052
"Founder, President- Israel Club/Jewish Club; Plans club & school-wide events to educate students on Jewish holidays, culture, & traditions; arranges international speakers to come to campus.",157704117
Dance Student and Founder of PCDS Dance Club; In advanced level with 6 years of pointe shoe experience. Danced at 3 studios. Enlisted members for club and coordinated meetings and announcements.,157704151
"President and Founder of Science Fiction Club; Plan science-fiction related activities for meetings such as watching movies, reading stories, having discussions, and plan trips for the club.",157705934
CEO and Founder of the Give A Hand Organization; Stately (Pennsylvania) and Internationally (Turkey) recognized Organization that raises funds and organizes students programs to help Syrian refugees.,157707111
Founder & President: BeachBallers; Created and manage official online blog for Miami Beach Senior High Boys Basketball Team.,157708223
Co-Founder of Read-On; My sister and I started Read-On as our bat mitzvah project. We collect books and donate them to organizations such as Books for Africa.,157712763
"Founding Member/Leader, Education for Empowerment; Improve conditions & educational opportunities for underserved. Read to/mentor 15 at-risk K-6 students. Collected 400+ cold weather clothing items.",157714996
"Co-Founder, Baking Club; Founded club; started publicity campaign to promote events; organize cooking workshops; give out free baked goods to teachers & schoolmates.",157716155
"Co-Founder, Nuclear Station Monitoring Alliance; Initiated surveys on public awareness &concerns; organized lectures to popularize nuclear power; collected samples for Third Institute of Oceanography.",157716151
"Co-Founder, Mimo Art Studio; Cooperated with artists to design & produce drawing journals&artistic masking tapes; sold artworks at exhibitions; attended knowledge sharing sessions.",157716154
"Model UN Organizations: Vice President, Co-Founder; Facilitated Model UN cafe that has 1700+ members (http://cafe.naver.com/theworldwithus), Co-Founded a non profit (GTRO) that aids Model UN conferences.",157718424
"Co-Founder/Co-President, Investment Club; Founded and grew club to over 40 members. Taught fellow students about finance and investment. Will compete in Georgia division of Stock Market Game.",157718962
"National Organization for Women, Wilson HS Chapter; I am a founding member of this organization, which works to give females of all ethnicities a voice at Wilson HS and in our community as a whole.",157722775
"Founder, Sera on the Stars; I run an astrology blog where I post original content and have 4500 followers.",157729494
"Founder, School Photography Club; Led 20 photographers to develop self-expression. Managed special photo column in school publications. Funded trips by selling postcards and calendars.",157729792
"Founder & CEO, WeClass Mobile Photo App; Launched social media and photo-sharing app to unify class community. Attracted more than 1,000 users. Led app design, promotion and team recruitment.",157729791
"Founder/President, Gender & Sexuality Alliance; Design and execute initiatives (guest speakers, Queer Art Festival, Day of Silence). Create campus safe space. Collaborate with other diversity clubs.",157730404
"Co-president & Founder of Cooking Club; Organize monthly cooking events with peers and teachers, manage an annual budget of $300, participate in annual fundraiser Food Fair, lead 50 members.",157730895
Founder and Leader of Model UN Club; I have participated in numerous competitions internationally and in India. I am organising a Model UN conference in my city.,157732044
"Founding Member, Dance Team; Founded a dance group of young powerful students from different neighborhoods to promote creation and social change.",157744072
Club President and Founder; Stress Management Club.,157744501
"Founder, Leader, Public Speaking Club; We engage in impromptu, demonstrative, and formal speech. Due to its success and popularity, Public Speaking is now a performing arts class.",157748512
"Founder, Leader, MesapaÃÂ¢ÃÂÃÂÃÂ¢ÃÂÃÂol; Mesa (table) + EspaÃÂ¢ÃÂÃÂÃÂ¢ÃÂÃÂol (Spanish) = MesapaÃÂ¢ÃÂÃÂÃÂ¢ÃÂÃÂol. We meet weekly in the cafeteria to have Spanish-speaking tables. A casual lunch, but in Spanish!.",157748513
"American Red Cross Club-President & Founder; Regional volunteer since 9th. 11th started club: 127 members, raised $130 for vaccines, $700 for homeless veterans, 483 books for kids in Africa.",157751891
"Mebics + After School Tutoring Network -Co founder; Co Founder of Club and Head of Physics Dpt., responsible for scheduling classes, promoting the after school tutoring network, and teaching physics.",157762062
"Newton South Sailing Club, Vice President; I co-founded my school's recreational sailing club.",157763223
"President of International Students Association; Founder of ISA, grew to over 30 members, organized meetings twice a week, celebrated festivals of all cultures.",157764322
Founder of Spartan Buddies; Mentoring program for at-risk elementary students.,157767382
A founding member of GNAC step team; I am in a competitive step team that competes against other teams.,157772315
"Co-Founder of the Little Cardinal Library; A library created for underserved preschool to promote early literacy, featured in newspaper, and local new channel.",157775716
"Founder and President, Columbia Prep Magic Club; Drafted proposal to create club; recruited members; plan weekly meetings; demonstrate and teach tricks to club members.",157781947
Co-Founder of Girl Up; Organised events raising awareness on core beliefs and hosting women's day at school.,1577836510
President of Student council 2015-2016; Founded Student peer counselling committee.,157783655
"DMC Girl Up under the aegis of Girl Up-UN Campaign; Founded the first club in Mauritius, with aim to empower young girls to take a stand for themselves and boost their self confidence.",157783751
Founder of Social Streets.; An organization dedicated to create awareness about social issues using theatre as a medium.,157783782
Founder & President: Forensic Science Forum; Established online entity responsible for providing detailed information regarding the world of forensic science.,157784101
"Founder/President of ACT Club; Founded the club, promoted members' interests in English, Math, Reading, and Science, organized ACT practice test competitions.",157790724
"Career & College Choices Program Founder; Co-founder of database for students to search internships, recruited companies/individuals, currently expanding to add alumni college experiences.",157792723
Leader and Founder of a starting sponsorship progr; I have started a sponsorship to aid three students in need of help and has won the President Golden Award for Community Service (250h).,157793501
"Treasurer, founding member at school Dorm Council; Started first Dorm Council as one of the founders to improve dorm life experience for about 30 boarding students, teamworked to develop new programs.",157795823
"Preisdent and Founder, Smile MoCo; This is a grassroots campaign to promote happiness and positivity in my community of Montgomery County, Maryland through acts of kindness.",157803111
"Founder & President of the Karaoke Club; Help fellow students to develop singing skills through a sociable, relaxed setting. Serve as a bounding program in the boarding school.",157805115
Co-Founder of the Mathematics Club; Helped draft club constitution. Recruited members. Provided problem solving for the upcoming AMC 10/12 competitions.,157805114
Founder & Leader of Robotics and Engineering Club; Organize members to construct and program robotics to navigate through an obstacle course in 8x16 foot playing field and perform various tasks.,157805112
"The Bottle Project,CoFounder,Director of Operation; Founded+created thebottleproject.org. Organized team/sponsors to handout bottles for positive tangible impacts in community+enviro cleanup+discourse.",157815382
"Founder, WeChat Platform ""Serendipity""""; Managed online art-focused platform; wrote and published online articles about music, design and photography.",157818086
Founder Secretary of Inksight; I edit for and helped found and organize a political journal club called Inksight.,157823035
"Nepal, My Pal: Founder; Organized a community book drive over my 2015 summer, to support the victims of the April 2015 Nepal Earthquake; proceeds donated to Nepal-based NGO.",157823228
"Moledro Magazine: Founder and Editor-in-chief; Responsible for managing the magazine's website, submissions, issues, members of masthead, advertising ventures, blog, newsletter, and social media.",157823221
"Founder of hair bow company ""Beach Bows""""; I designed and created quality hair accessories which were sold in several boutiques including Beauty By the Sea and Milly and Grace.",157828366
"President of Literature Club; Founded club that currently has 20 regular members, responsible for leading/planning weekly meetings and gathering materials.",157829032
"Co-founder of St. David's String Ensemble-Violin; Private Violin instruction-eleven years--NCChamber Music Institute,  NC Philharmonic Association, St. David's Student Faculty Recital.",157836563
Founder of Kashmir Concert for a Cause; Organising a concert to increase cultural awareness by reviving traditional Kashmiri music through the empowerment of traditional Kashmiri musicians.,157839228
"Founder and Head of One Love Committee; Raise awareness of early signs of relationship abuse, helping young adults to prevent escalation. I organized four speaker events and fundraised.",157844801
"FLOCK; Co-founded and developed social media app; App designed to create local feeds for events and spots such as concerts and restaurants, & personal groups.",157849143
"Ripple Club, founder and president; I founded Ripple Club, which raises funds for water distribution in the local homeless shelters.",157849566
"Founder, Director, Tutor - Peers Stop Tears; Established student-run peer tutoring program, which includes free face-to-face and video tutorials. This is also my Girl Scout Gold Award project.",157852482
Co-Founder and President of School Club; Duplicate Bridge; 1st Georgia Youth Swiss Team Championship; 3rd Place Youth National American Bridge Championship Swiss Team.,157854214
"President of the Environmental Club; I founded this club to focus on the betterment of my community's environment. Within the club, members were able to establish our first school garden.",157855385
Founder and President of FeMINIsts Organization; GlobalfeMINIsts.org provides gender equality education to children through literature. It has over 50 ambassadors in 22 countries and 12 states.,157859362
Co-Founder of Invicta Debate Institute; Invicta offers coaching at little/no expense to students who would otherwise be unable to afford debate camp. Within our 1st year we had 40+ students.,157859366
Co-founder of Math Mates; Tutoring middle school kids in mathematics.,157860825
"Volunteer, Code for Fun; Worked with co-founder and founder to teach underserved children, especially girls, business and coding; supervised children during breaks and lunch.",157861143
Co-founder of Friendship Club; Organised students from different cultures and countries to introduce Chinese and other cultures.,157864645
"Founder and Head of Neighborhood Battery Club; Put up posters advertising recycling effort, collected over 20 kg of used batteries, recognized by Beijing Blue Sky Action campaign.",157864721
"Genetics Club: Co-Founder/Head; Club dedicated to learning about current practices in field of genetics. As co-head, find topics for meetings, organize in-house competitions.",157866134
"Co Founder, The Dying River Campaign; Organized cleaning drives, fundraising events to prevent deterioration of Yamuna river, filed info petitions with government http://bit.ly/2bnR85S.",157866684
Co-Founder; Vice President: Science Honor Society; Started club freshman year; now has 120+ members; worked with administration to approve club and organize activities to promote science.,157867444
"Co-Founder of Maharat Sewing Project w/ my sister; A charitable initiative & centre in Jordan, where refugee women are taught basic sewing skills, began in 2013 at age 14.",157868691
Founder/President; Asian Heritage is a club that I founded due to lack of an organization that catered to the large Asian American presence in my school.,157872715
"President/Founder; Project Cebu is a charity that I founded in the summer of 2015, and aims toward getting kids off the street.",157872712
